α;Cl;Cd
0;0;0.02101
1;0.126;0.02114
2;0.252;0.02145
3;0.378;0.02199
4;0.502;0.02167
5;0.624;0.02387
6;0.745;0.02534
7;0.86;0.02728
8;0.969;0.02988
9;1.07;0.03332
10;1.163;0.03795
11;1.247;0.04406
12;1.322;0.05201
13;1.389;0.06216
14;1.447;0.0747
15;1.496;0.08941
16;1.537;0.10634
17;1.571;0.12568
18;1.601;0.14551
19;1.627;0.165
20;1.647;0.18594
21;1.658;0.20742
22;1.66;0.22946
23;1.657;0.25227
24;1.647;0.27617
25;1.632;0.30054
26;1.612;0.32558
27;1.587;0.35226
28;1.558;0.38093
29;1.526;0.40937
30;1.491;0.43988
31;1.454;0.47189
32;1.415;0.50488
33;1.376;0.53886
34;1.337;0.57521
35;1.297;0.61209
36;1.253;0.64951
37;1.21;0.6854
38;1.167;0.72496
39;1.126;0.76973
40;1.086;0.81003
41;1.048;0.8523
42;1.011;0.8968
43;0.975;0.94233
44;0.942;0.98569
45;0.909;1.03789
46;0.879;1.07882
47;0.849;1.12756
48;0.822;1.17228
49;0.795;1.23437
50;0.77;1.27075
